Date,User,Tweet,Cleaned_Tweet,Sentiment
2025-06-08 11:00:02,@ai_wave,Generative AI is revolutionizing the tech industry.,generative ai revolutionizing tech industry,Neutral
2025-06-06 06:00:02,@intelli_user,"Artificial Intelligence is overrated, in my opinion.",artificial intelligence overrated opinion,Positive
2025-05-25 15:00:02,@ai_wave,The future of GPT-4 is exciting and scary at the same time.,future gpt exciting scary time,Neutral
2025-06-03 05:00:02,@data_driven,I'm worried about job loss due to OpenAI.,im worried job loss due openai,Negative
2025-05-29 06:00:02,@openai_enthusiast,Can't believe how powerful AI has become!,cant believe powerful ai become,Negative
2025-05-24 11:00:02,@tech_guru,I'm worried about job loss due to GPT-4.,im worried job loss due gpt,Negative
2025-06-07 11:00:02,@byte_blazer,Can't believe how powerful GPT-4 has become!,cant believe powerful gpt become,Negative
2025-05-25 02:00:02,@ml_master,Can't believe how powerful ChatGPT has become!,cant believe powerful chatgpt become,Negative
2025-06-14 17:00:02,@byte_blazer,"I love using AI for my work, it's amazing!",love using ai work amazing,Positive
2025-05-29 20:00:02,@tech_guru,The future of ChatGPT is exciting and scary at the same time.,future chatgpt exciting scary time,Neutral
2025-05-29 07:00:02,@data_driven,I'm worried about job loss due to ChatGPT.,im worried job loss due chatgpt,Negative
2025-05-22 18:00:02,@visionary,"So many companies are adopting AI, it’s everywhere now.",many companies adopting ai everywhere,Neutral
2025-06-05 16:00:02,@prompt_pro,"AI is overrated, in my opinion.",ai overrated opinion,Neutral
2025-05-23 18:00:02,@smartbyte,I have concerns about the ethical use of Generative AI.,concerns ethical use generative ai,Positive
2025-05-31 02:00:02,@smartbyte,I have concerns about the ethical use of Artificial Intelligence.,concerns ethical use artificial intelligence,Positive
2025-06-07 19:00:02,@ai_wave,Can't believe how powerful Generative AI has become!,cant believe powerful generative ai become,Negative
2025-06-15 04:00:02,@deepthinker,The future of Generative AI is exciting and scary at the same time.,future generative ai exciting scary time,Neutral
2025-06-21 17:00:02,@data_driven,Can't believe how powerful ChatGPT has become!,cant believe powerful chatgpt become,Negative
2025-06-04 04:00:02,@prompt_pro,I have concerns about the ethical use of GPT-4.,concerns ethical use gpt,Positive
2025-05-30 15:00:02,@ml_master,The future of ChatGPT is exciting and scary at the same time.,future chatgpt exciting scary time,Neutral
2025-06-20 10:00:02,@ai_wave,I have concerns about the ethical use of ChatGPT.,concerns ethical use chatgpt,Positive
2025-06-06 04:00:02,@deepthinker,The future of OpenAI is exciting and scary at the same time.,future openai exciting scary time,Neutral
2025-06-15 18:00:02,@ai_wave,"So many companies are adopting OpenAI, it’s everywhere now.",many companies adopting openai everywhere,Neutral
2025-06-03 20:00:02,@openai_enthusiast,The advancements in AI are truly fascinating.,advancements ai truly fascinating,Positive
2025-05-27 22:00:02,@tech_guru,"So many companies are adopting AI, it’s everywhere now.",many companies adopting ai everywhere,Neutral
2025-06-18 14:00:02,@botbuster,The future of AI is exciting and scary at the same time.,future ai exciting scary time,Neutral
2025-06-08 22:00:02,@ai_addict,Can't believe how powerful Generative AI has become!,cant believe powerful generative ai become,Negative
2025-05-31 15:00:02,@deepthinker,"I love using Generative AI for my work, it's amazing!",love using generative ai work amazing,Positive
2025-06-20 23:00:02,@smartbyte,The future of Artificial Intelligence is exciting and scary at the same time.,future artificial intelligence exciting scary time,Positive
2025-05-28 08:00:02,@the_future_now,Can't believe how powerful Artificial Intelligence has become!,cant believe powerful artificial intelligence become,Positive
2025-06-15 18:00:02,@deepthinker,I have concerns about the ethical use of AI.,concerns ethical use ai,Positive
2025-06-09 06:00:02,@byte_blazer,Generative AI is revolutionizing the tech industry.,generative ai revolutionizing tech industry,Neutral
2025-06-15 09:00:02,@digital_dreamer,"So many companies are adopting OpenAI, it’s everywhere now.",many companies adopting openai everywhere,Neutral
2025-06-19 10:00:02,@cyber_sage,I'm worried about job loss due to Generative AI.,im worried job loss due generative ai,Negative
2025-05-27 11:00:02,@the_future_now,I'm worried about job loss due to Artificial Intelligence.,im worried job loss due artificial intelligence,Negative
2025-06-16 22:00:02,@visionary,I have concerns about the ethical use of ChatGPT.,concerns ethical use chatgpt,Positive
2025-06-15 23:00:02,@neural_net_ninja,"So many companies are adopting Generative AI, it’s everywhere now.",many companies adopting generative ai everywhere,Neutral
2025-06-10 11:00:02,@smartbyte,ChatGPT is revolutionizing the tech industry.,chatgpt revolutionizing tech industry,Neutral
2025-05-23 21:00:02,@prompt_pro,"Generative AI is overrated, in my opinion.",generative ai overrated opinion,Neutral
2025-05-30 12:00:02,@ai_fan_99,OpenAI is changing how we live and work.,openai changing live work,Neutral
2025-06-18 05:00:02,@visionary,"So many companies are adopting GPT-4, it’s everywhere now.",many companies adopting gpt everywhere,Neutral
2025-05-23 10:00:02,@digital_dreamer,I have concerns about the ethical use of OpenAI.,concerns ethical use openai,Positive
2025-06-20 12:00:02,@data_driven,I'm worried about job loss due to GPT-4.,im worried job loss due gpt,Negative
2025-06-20 17:00:02,@prompt_pro,"I love using OpenAI for my work, it's amazing!",love using openai work amazing,Positive
2025-05-23 19:00:02,@data_driven,I'm worried about job loss due to Generative AI.,im worried job loss due generative ai,Negative
2025-05-22 19:00:02,@deepthinker,"I love using AI for my work, it's amazing!",love using ai work amazing,Positive
2025-06-19 16:00:02,@openai_enthusiast,ChatGPT is revolutionizing the tech industry.,chatgpt revolutionizing tech industry,Neutral
2025-06-10 08:00:02,@digital_dreamer,I have concerns about the ethical use of ChatGPT.,concerns ethical use chatgpt,Positive
2025-06-03 16:00:02,@intelli_user,I have concerns about the ethical use of GPT-4.,concerns ethical use gpt,Positive
2025-06-19 22:00:02,@ai_wave,The advancements in ChatGPT are truly fascinating.,advancements chatgpt truly fascinating,Positive
2025-06-03 19:00:02,@openai_enthusiast,The advancements in Artificial Intelligence are truly fascinating.,advancements artificial intelligence truly fascinating,Positive
2025-06-15 14:00:02,@chatgptlover,"OpenAI is overrated, in my opinion.",openai overrated opinion,Neutral
2025-06-15 03:00:02,@ai_wave,Can't believe how powerful Artificial Intelligence has become!,cant believe powerful artificial intelligence become,Positive
2025-05-31 15:00:02,@smartbyte,Generative AI is revolutionizing the tech industry.,generative ai revolutionizing tech industry,Neutral
2025-06-12 09:00:02,@tech_guru,"So many companies are adopting OpenAI, it’s everywhere now.",many companies adopting openai everywhere,Neutral
2025-06-02 17:00:02,@ai_fan_99,"So many companies are adopting ChatGPT, it’s everywhere now.",many companies adopting chatgpt everywhere,Neutral
2025-06-05 05:00:02,@tech_guru,The future of ChatGPT is exciting and scary at the same time.,future chatgpt exciting scary time,Neutral
2025-06-18 00:00:02,@chatgptlover,"GPT-4 is overrated, in my opinion.",gpt overrated opinion,Neutral
2025-06-11 02:00:02,@ai_fan_99,I have concerns about the ethical use of ChatGPT.,concerns ethical use chatgpt,Positive
2025-05-26 18:00:02,@visionary,"So many companies are adopting AI, it’s everywhere now.",many companies adopting ai everywhere,Neutral
2025-06-02 15:00:02,@prompt_pro,"Artificial Intelligence is overrated, in my opinion.",artificial intelligence overrated opinion,Positive
2025-05-31 18:00:02,@futurecoder,"I love using GPT-4 for my work, it's amazing!",love using gpt work amazing,Positive
2025-05-23 07:00:02,@ml_master,The future of OpenAI is exciting and scary at the same time.,future openai exciting scary time,Neutral
2025-05-25 08:00:02,@data_driven,The future of OpenAI is exciting and scary at the same time.,future openai exciting scary time,Neutral
2025-06-18 03:00:02,@ai_fan_99,I'm worried about job loss due to Artificial Intelligence.,im worried job loss due artificial intelligence,Negative
2025-06-15 13:00:02,@nextgen_techie,The advancements in OpenAI are truly fascinating.,advancements openai truly fascinating,Positive
2025-05-31 15:00:02,@byte_blazer,I have concerns about the ethical use of OpenAI.,concerns ethical use openai,Positive
2025-06-07 03:00:02,@ai_wave,I'm worried about job loss due to OpenAI.,im worried job loss due openai,Negative
2025-06-01 22:00:02,@cyber_sage,The future of ChatGPT is exciting and scary at the same time.,future chatgpt exciting scary time,Neutral
2025-06-22 01:00:02,@ai_addict,"I love using OpenAI for my work, it's amazing!",love using openai work amazing,Positive
2025-06-16 12:00:02,@chatgptlover,"AI is overrated, in my opinion.",ai overrated opinion,Neutral
2025-05-30 22:00:02,@botbuster,I'm worried about job loss due to Generative AI.,im worried job loss due generative ai,Negative
2025-06-19 09:00:02,@chatgptlover,"I love using GPT-4 for my work, it's amazing!",love using gpt work amazing,Positive
2025-06-05 10:00:02,@ai_addict,Artificial Intelligence is revolutionizing the tech industry.,artificial intelligence revolutionizing tech industry,Positive
2025-06-05 07:00:02,@ai_wave,The advancements in OpenAI are truly fascinating.,advancements openai truly fascinating,Positive
2025-06-21 02:00:02,@botbuster,Generative AI is revolutionizing the tech industry.,generative ai revolutionizing tech industry,Neutral
2025-05-25 00:00:02,@deepthinker,"I love using OpenAI for my work, it's amazing!",love using openai work amazing,Positive
2025-06-01 08:00:02,@the_future_now,I have concerns about the ethical use of AI.,concerns ethical use ai,Positive
2025-05-24 22:00:02,@digital_dreamer,I'm worried about job loss due to OpenAI.,im worried job loss due openai,Negative
2025-05-24 04:00:02,@prompt_pro,GPT-4 is revolutionizing the tech industry.,gpt revolutionizing tech industry,Neutral
2025-05-24 22:00:02,@openai_enthusiast,AI is revolutionizing the tech industry.,ai revolutionizing tech industry,Neutral
2025-05-30 01:00:02,@smartbyte,ChatGPT is revolutionizing the tech industry.,chatgpt revolutionizing tech industry,Neutral
2025-06-14 06:00:02,@intelli_user,I have concerns about the ethical use of Generative AI.,concerns ethical use generative ai,Positive
2025-06-10 10:00:02,@ai_fan_99,The future of Artificial Intelligence is exciting and scary at the same time.,future artificial intelligence exciting scary time,Positive
2025-06-15 21:00:02,@data_driven,I have concerns about the ethical use of Generative AI.,concerns ethical use generative ai,Positive
2025-05-27 04:00:02,@chatgptlover,"OpenAI is overrated, in my opinion.",openai overrated opinion,Neutral
2025-06-01 05:00:02,@smartbyte,"I love using AI for my work, it's amazing!",love using ai work amazing,Positive
2025-06-14 09:00:02,@ai_fan_99,Can't believe how powerful Generative AI has become!,cant believe powerful generative ai become,Negative
2025-06-01 19:00:02,@futurecoder,Can't believe how powerful OpenAI has become!,cant believe powerful openai become,Negative
2025-06-12 11:00:02,@the_future_now,I'm worried about job loss due to Generative AI.,im worried job loss due generative ai,Negative
2025-06-16 17:00:02,@neural_net_ninja,"ChatGPT is overrated, in my opinion.",chatgpt overrated opinion,Neutral
2025-06-18 16:00:02,@code_with_ai,"I love using OpenAI for my work, it's amazing!",love using openai work amazing,Positive
2025-05-30 01:00:02,@code_with_ai,Can't believe how powerful Generative AI has become!,cant believe powerful generative ai become,Negative
2025-06-06 08:00:02,@botbuster,The advancements in Generative AI are truly fascinating.,advancements generative ai truly fascinating,Positive
2025-06-16 03:00:02,@the_future_now,The advancements in Generative AI are truly fascinating.,advancements generative ai truly fascinating,Positive
2025-06-21 19:00:02,@nextgen_techie,ChatGPT is changing how we live and work.,chatgpt changing live work,Neutral
2025-06-10 22:00:02,@neural_net_ninja,I have concerns about the ethical use of GPT-4.,concerns ethical use gpt,Positive
2025-06-03 01:00:02,@tech_guru,Can't believe how powerful ChatGPT has become!,cant believe powerful chatgpt become,Negative
2025-05-30 02:00:02,@prompt_pro,The future of Artificial Intelligence is exciting and scary at the same time.,future artificial intelligence exciting scary time,Positive
2025-05-31 22:00:02,@gpt_dev,"GPT-4 is overrated, in my opinion.",gpt overrated opinion,Neutral
2025-05-31 02:00:02,@code_with_ai,OpenAI is changing how we live and work.,openai changing live work,Neutral
2025-06-15 22:00:02,@digital_dreamer,GPT-4 is revolutionizing the tech industry.,gpt revolutionizing tech industry,Neutral
2025-05-31 12:00:02,@code_with_ai,Artificial Intelligence is changing how we live and work.,artificial intelligence changing live work,Positive
2025-06-04 02:00:02,@ai_wave,The advancements in AI are truly fascinating.,advancements ai truly fascinating,Positive
2025-05-27 11:00:02,@robotic_vision,I'm worried about job loss due to Generative AI.,im worried job loss due generative ai,Negative
2025-06-15 22:00:02,@chatgptlover,"OpenAI is overrated, in my opinion.",openai overrated opinion,Neutral
2025-06-02 01:00:02,@neural_net_ninja,The advancements in GPT-4 are truly fascinating.,advancements gpt truly fascinating,Positive
2025-06-07 14:00:02,@prompt_pro,"So many companies are adopting Generative AI, it’s everywhere now.",many companies adopting generative ai everywhere,Neutral
2025-06-06 12:00:02,@digital_dreamer,I'm worried about job loss due to AI.,im worried job loss due ai,Negative
2025-06-12 19:00:02,@visionary,The future of AI is exciting and scary at the same time.,future ai exciting scary time,Neutral
2025-06-12 09:00:02,@gpt_dev,The advancements in Artificial Intelligence are truly fascinating.,advancements artificial intelligence truly fascinating,Positive
2025-06-15 05:00:02,@ai_wave,"AI is overrated, in my opinion.",ai overrated opinion,Neutral
2025-06-21 04:00:02,@nextgen_techie,"I love using AI for my work, it's amazing!",love using ai work amazing,Positive
2025-05-26 09:00:02,@chatgptlover,The advancements in Generative AI are truly fascinating.,advancements generative ai truly fascinating,Positive
2025-05-24 15:00:02,@ml_master,Generative AI is changing how we live and work.,generative ai changing live work,Neutral
2025-05-30 13:00:02,@tech_guru,I have concerns about the ethical use of GPT-4.,concerns ethical use gpt,Positive
2025-06-10 04:00:02,@ai_addict,"So many companies are adopting Generative AI, it’s everywhere now.",many companies adopting generative ai everywhere,Neutral
2025-05-25 08:00:02,@tech_guru,"I love using AI for my work, it's amazing!",love using ai work amazing,Positive
2025-06-16 13:00:02,@chatgptlover,I have concerns about the ethical use of Generative AI.,concerns ethical use generative ai,Positive
2025-06-20 18:00:02,@nextgen_techie,"So many companies are adopting GPT-4, it’s everywhere now.",many companies adopting gpt everywhere,Neutral
2025-06-08 07:00:02,@prompt_pro,The future of AI is exciting and scary at the same time.,future ai exciting scary time,Neutral
2025-06-04 16:00:02,@cyber_sage,I'm worried about job loss due to Generative AI.,im worried job loss due generative ai,Negative
2025-06-02 12:00:02,@byte_blazer,"So many companies are adopting OpenAI, it’s everywhere now.",many companies adopting openai everywhere,Neutral
2025-05-26 18:00:02,@tech_guru,GPT-4 is changing how we live and work.,gpt changing live work,Neutral
2025-05-29 20:00:02,@botbuster,Generative AI is revolutionizing the tech industry.,generative ai revolutionizing tech industry,Neutral
2025-05-29 04:00:02,@tech_guru,"Generative AI is overrated, in my opinion.",generative ai overrated opinion,Neutral
2025-05-28 19:00:02,@intelli_user,"Artificial Intelligence is overrated, in my opinion.",artificial intelligence overrated opinion,Positive
2025-06-13 21:00:02,@futurecoder,I have concerns about the ethical use of Generative AI.,concerns ethical use generative ai,Positive
2025-06-15 03:00:02,@ai_wave,"ChatGPT is overrated, in my opinion.",chatgpt overrated opinion,Neutral
2025-05-24 18:00:02,@ai_wave,Can't believe how powerful OpenAI has become!,cant believe powerful openai become,Negative
2025-06-18 04:00:02,@code_with_ai,ChatGPT is revolutionizing the tech industry.,chatgpt revolutionizing tech industry,Neutral
2025-05-31 05:00:02,@openai_enthusiast,Generative AI is revolutionizing the tech industry.,generative ai revolutionizing tech industry,Neutral
2025-06-09 01:00:02,@gpt_dev,ChatGPT is changing how we live and work.,chatgpt changing live work,Neutral
2025-06-09 10:00:02,@smartbyte,"So many companies are adopting GPT-4, it’s everywhere now.",many companies adopting gpt everywhere,Neutral
2025-06-09 17:00:02,@chatgptlover,AI is changing how we live and work.,ai changing live work,Neutral
2025-05-25 17:00:02,@ai_addict,"I love using Artificial Intelligence for my work, it's amazing!",love using artificial intelligence work amazing,Positive
2025-06-22 00:00:02,@visionary,"So many companies are adopting Generative AI, it’s everywhere now.",many companies adopting generative ai everywhere,Neutral
2025-05-25 22:00:02,@ai_fan_99,OpenAI is changing how we live and work.,openai changing live work,Neutral
2025-05-27 16:00:02,@ml_master,I'm worried about job loss due to GPT-4.,im worried job loss due gpt,Negative
2025-06-15 03:00:02,@byte_blazer,"So many companies are adopting AI, it’s everywhere now.",many companies adopting ai everywhere,Neutral
2025-06-21 23:00:02,@deepthinker,"So many companies are adopting Generative AI, it’s everywhere now.",many companies adopting generative ai everywhere,Neutral
2025-05-30 06:00:02,@the_future_now,OpenAI is changing how we live and work.,openai changing live work,Neutral
2025-06-02 18:00:02,@ai_fan_99,Generative AI is revolutionizing the tech industry.,generative ai revolutionizing tech industry,Neutral
2025-06-03 17:00:02,@chatgptlover,ChatGPT is changing how we live and work.,chatgpt changing live work,Neutral
2025-06-19 15:00:02,@smartbyte,"I love using Artificial Intelligence for my work, it's amazing!",love using artificial intelligence work amazing,Positive
2025-05-25 21:00:02,@ai_addict,Generative AI is revolutionizing the tech industry.,generative ai revolutionizing tech industry,Neutral
2025-06-13 23:00:02,@byte_blazer,"I love using AI for my work, it's amazing!",love using ai work amazing,Positive
2025-06-08 01:00:02,@prompt_pro,I have concerns about the ethical use of OpenAI.,concerns ethical use openai,Positive
2025-06-13 22:00:02,@neural_net_ninja,OpenAI is changing how we live and work.,openai changing live work,Neutral
2025-06-07 11:00:02,@ai_wave,The future of OpenAI is exciting and scary at the same time.,future openai exciting scary time,Neutral
2025-06-21 00:00:02,@the_future_now,I'm worried about job loss due to Artificial Intelligence.,im worried job loss due artificial intelligence,Negative
2025-05-28 15:00:02,@digital_dreamer,The future of AI is exciting and scary at the same time.,future ai exciting scary time,Neutral
2025-05-23 04:00:02,@openai_enthusiast,"I love using ChatGPT for my work, it's amazing!",love using chatgpt work amazing,Positive
2025-06-03 07:00:02,@smartbyte,"I love using AI for my work, it's amazing!",love using ai work amazing,Positive
2025-06-06 14:00:02,@ml_master,AI is revolutionizing the tech industry.,ai revolutionizing tech industry,Neutral
2025-05-23 05:00:02,@cyber_sage,The advancements in ChatGPT are truly fascinating.,advancements chatgpt truly fascinating,Positive
2025-05-29 00:00:02,@futurecoder,"Generative AI is overrated, in my opinion.",generative ai overrated opinion,Neutral
2025-06-02 12:00:02,@the_future_now,The advancements in AI are truly fascinating.,advancements ai truly fascinating,Positive
2025-05-29 06:00:02,@digital_dreamer,The future of Artificial Intelligence is exciting and scary at the same time.,future artificial intelligence exciting scary time,Positive
2025-06-04 11:00:02,@digital_dreamer,The future of OpenAI is exciting and scary at the same time.,future openai exciting scary time,Neutral
2025-05-31 23:00:02,@ai_fan_99,The advancements in OpenAI are truly fascinating.,advancements openai truly fascinating,Positive
2025-06-19 17:00:02,@ai_addict,I have concerns about the ethical use of Generative AI.,concerns ethical use generative ai,Positive
2025-06-18 13:00:02,@intelli_user,I have concerns about the ethical use of Artificial Intelligence.,concerns ethical use artificial intelligence,Positive
2025-05-28 08:00:02,@ml_master,The advancements in OpenAI are truly fascinating.,advancements openai truly fascinating,Positive
2025-06-10 18:00:02,@chatgptlover,"I love using GPT-4 for my work, it's amazing!",love using gpt work amazing,Positive
2025-06-19 19:00:02,@code_with_ai,Can't believe how powerful Generative AI has become!,cant believe powerful generative ai become,Negative
2025-06-21 22:00:02,@deepthinker,Can't believe how powerful Artificial Intelligence has become!,cant believe powerful artificial intelligence become,Positive
2025-06-09 00:00:02,@botbuster,The future of Generative AI is exciting and scary at the same time.,future generative ai exciting scary time,Neutral
2025-05-31 07:00:02,@futurecoder,"So many companies are adopting Artificial Intelligence, it’s everywhere now.",many companies adopting artificial intelligence everywhere,Positive
2025-05-29 19:00:02,@byte_blazer,Generative AI is revolutionizing the tech industry.,generative ai revolutionizing tech industry,Neutral
2025-06-02 18:00:02,@ai_wave,"Artificial Intelligence is overrated, in my opinion.",artificial intelligence overrated opinion,Positive
2025-06-08 12:00:02,@botbuster,"So many companies are adopting Generative AI, it’s everywhere now.",many companies adopting generative ai everywhere,Neutral
2025-06-12 04:00:02,@botbuster,"GPT-4 is overrated, in my opinion.",gpt overrated opinion,Neutral
2025-05-24 21:00:02,@neural_net_ninja,"ChatGPT is overrated, in my opinion.",chatgpt overrated opinion,Neutral
2025-06-03 16:00:02,@deepthinker,"So many companies are adopting AI, it’s everywhere now.",many companies adopting ai everywhere,Neutral
2025-06-12 11:00:02,@chatgptlover,Artificial Intelligence is changing how we live and work.,artificial intelligence changing live work,Positive
2025-06-16 20:00:02,@the_future_now,Can't believe how powerful Generative AI has become!,cant believe powerful generative ai become,Negative
2025-05-28 03:00:02,@gpt_dev,Can't believe how powerful AI has become!,cant believe powerful ai become,Negative
2025-05-24 16:00:02,@ml_master,"OpenAI is overrated, in my opinion.",openai overrated opinion,Neutral
2025-06-05 11:00:02,@digital_dreamer,"Artificial Intelligence is overrated, in my opinion.",artificial intelligence overrated opinion,Positive
2025-06-20 04:00:02,@openai_enthusiast,I have concerns about the ethical use of GPT-4.,concerns ethical use gpt,Positive
2025-06-06 18:00:02,@ml_master,Artificial Intelligence is changing how we live and work.,artificial intelligence changing live work,Positive
2025-06-01 13:00:02,@openai_enthusiast,"So many companies are adopting AI, it’s everywhere now.",many companies adopting ai everywhere,Neutral
2025-05-28 11:00:02,@data_driven,"So many companies are adopting Generative AI, it’s everywhere now.",many companies adopting generative ai everywhere,Neutral
2025-06-14 23:00:02,@neural_net_ninja,"ChatGPT is overrated, in my opinion.",chatgpt overrated opinion,Neutral
2025-06-12 14:00:02,@neural_net_ninja,I have concerns about the ethical use of Artificial Intelligence.,concerns ethical use artificial intelligence,Positive
2025-06-06 18:00:02,@botbuster,Can't believe how powerful GPT-4 has become!,cant believe powerful gpt become,Negative
2025-06-08 12:00:02,@ai_addict,Can't believe how powerful GPT-4 has become!,cant believe powerful gpt become,Negative
2025-06-10 13:00:02,@openai_enthusiast,Can't believe how powerful GPT-4 has become!,cant believe powerful gpt become,Negative
2025-06-13 03:00:02,@nextgen_techie,"Generative AI is overrated, in my opinion.",generative ai overrated opinion,Neutral
2025-05-30 05:00:02,@prompt_pro,The future of AI is exciting and scary at the same time.,future ai exciting scary time,Neutral
2025-05-29 18:00:02,@gpt_dev,The future of OpenAI is exciting and scary at the same time.,future openai exciting scary time,Neutral
2025-06-16 05:00:02,@neural_net_ninja,Artificial Intelligence is revolutionizing the tech industry.,artificial intelligence revolutionizing tech industry,Positive
2025-06-13 12:00:02,@code_with_ai,"So many companies are adopting Artificial Intelligence, it’s everywhere now.",many companies adopting artificial intelligence everywhere,Positive
2025-06-03 02:00:02,@neural_net_ninja,I'm worried about job loss due to GPT-4.,im worried job loss due gpt,Negative
2025-06-13 04:00:02,@deepthinker,I have concerns about the ethical use of ChatGPT.,concerns ethical use chatgpt,Positive
2025-06-13 11:00:02,@openai_enthusiast,OpenAI is revolutionizing the tech industry.,openai revolutionizing tech industry,Neutral
2025-06-18 03:00:02,@the_future_now,I'm worried about job loss due to Artificial Intelligence.,im worried job loss due artificial intelligence,Negative
2025-06-05 02:00:02,@data_driven,"I love using ChatGPT for my work, it's amazing!",love using chatgpt work amazing,Positive
2025-06-01 20:00:02,@intelli_user,Artificial Intelligence is revolutionizing the tech industry.,artificial intelligence revolutionizing tech industry,Positive
2025-06-04 02:00:02,@code_with_ai,"I love using ChatGPT for my work, it's amazing!",love using chatgpt work amazing,Positive
2025-06-08 01:00:02,@byte_blazer,"So many companies are adopting Generative AI, it’s everywhere now.",many companies adopting generative ai everywhere,Neutral
